inventory_numbers;tag_inv;NURI;NURI_tag;taxonomy_1;tag_tax_1;taxonomy_2;tag_tax_2;location;tag_loc;stratigraphy;tag_str;author;author_tag;year;year_tag;old_inventory;old_inventory_tag;collector;collector_tag;determiner;determiner_tag
MB.I.1898;INV;http://coll.mfn-berlin.de/u/9407eb;O;Eocicada;GEN;lameeri;SPE;Schönau, Bayern, Deutschland;LOC;Solnhofener Plattenkalk Malm, Jura;STR;Handlirsch;O;1908;O;Inv.-Nr. MB.1998.1;O;Coll. Edinger;O;;O
MB.I.1899.a;INV;http://coll.mfn-berlin.de/u/940819;O;Apocrita;GEN;aculeata;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;;O;;O;MB.1995.4;O;Slg. Häberlein 1880;O;;O
MB.I.1899.b;INV;http://coll.mfn-berlin.de/u/9407b7;O;Anaxyelidae;FAM;indet.;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk, Malm, Jura;STR;;O;;O;MB.1995.4;O;Slg. Häberlein 1880;O;;O
MB.I.1900.a;INV;http://coll.mfn-berlin.de/u/9407ec;O;Prosyntexis;GEN;gouleti;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk oberer Malm;STR;Handlirsch;O;1906;O;MB.1995.4;O;Slg. Kaufmann;O;;O
MB.I.1900.b;INV;http://coll.mfn-berlin.de/u/9407c6;O;Cratephialtites;GEN;kourius;SPE;Eichstätt, Bayern, Deutschland;LOC;Solnhofener Plattenkalk oberer Malm;STR;Handlirsch;O;1906;O;MB.1995.4;O;Slg. Kaufmann;O;;O
MB.I.2002;INV;http://coll.mfn-berlin.de/u/fb9a0c;O;Architiphia;GEN;rasnitsyn;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert, Nr. 159;O;det. Rasnitsyn, 1999;O
MB.I.2003;INV;http://coll.mfn-berlin.de/u/5f2d23;O;Architiphia;GEN;sp.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert, Nr. 160;O;det. Rasnitsyn, 1999;O
MB.I.2004;INV;http://coll.mfn-berlin.de/u/bbfeb0;O;Angarosphex;GEN;magnus;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Sharkey;O;1990;O;MB.1999.3;O;gek. V. Schwickert, Nr. 163;O;det. Rasnitsyn, 1999;O
MB.I.2005;INV;http://coll.mfn-berlin.de/u/7174e4;O;Angarosphex;GEN;magnus;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Sharkey;O;1990;O;MB.1999.3;O;gek. V. Schwickert, Nr. 164;O;det. Rasnitsyn, 1990;O
MB.I.2006;INV;http://coll.mfn-berlin.de/u/f937ad;O;Angarosphex;GEN;parvus;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Darling;O;1990;O;MB.1999.3;O;gek. V. Schwickert, Nr. 165;O;det. Rasnitsyn, 1999;O
MB.I.2007;INV;http://coll.mfn-berlin.de/u/630da1;O;Cretoproscolia;GEN;josai;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert, Nr. 166;O;det. Rasnitsyn, 1999;O
MB.I.2008;INV;http://coll.mfn-berlin.de/u/c76b8b;O;Angarosphex;GEN;parvus;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Darling;O;1990;O;MB.1999.3;O;gek. V. Schwickert, Nr. 167;O;det. Rasnitsyn, 1999;O
MB.I.2009;INV;http://coll.mfn-berlin.de/u/2a301c;O;Angarosphex;GEN;magnus;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Darling;O;1990;O;MB.1999.3;O;gek. V. Schwickert, Nr. 168;O;det. Rasnitsyn, 1999;O
MB.I.2010;INV;http://coll.mfn-berlin.de/u/e871e7;O;Cretoproscolia;GEN;sp.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Darling;O;1990;O;MB.1999.3;O;gek. V. Schwickert, Nr. 170;O;det. Rasnitsyn, 1999;O
MB.I.2011;INV;http://coll.mfn-berlin.de/u/51d0f;O;Angarosphex;GEN;magnus;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Rasnitsyn & Martínez-Delclòs, 1999;O;;O;MB.1999.3;O;gek. V. Schwickert, Nr. 170;O;det. Rasnitsyn, 1999;O
MB.I.2012;INV;http://coll.mfn-berlin.de/u/555cf3;O;Angarosphex;GEN;parvus;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Darling;O;1990;O;MB.1999.3;O;gek. V. Schwickert, Nr. 170;O;det. Rasnitsyn, 1999;O
MB.I.2013;INV;http://coll.mfn-berlin.de/u/20f02d;O;Diplura;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Darling;O;1990;O;MB.1999.3;O;gek. V. Schwickert, Nr. 172;O;det. Rasnitsyn, 1999;O
MB.I.2014;INV;http://coll.mfn-berlin.de/u/d27a02;O;Ephemeroptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Rasnitsyn & Martínez-Delclòs, 1999;O;;O;MB.1999.3;O;gek. V. Schwickert, Nr. 173;O;det. Rasnitsyn, 1999;O
MB.I.2015;INV;http://coll.mfn-berlin.de/u/212d20;O;Ephemeroptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Darling;O;1990;O;MB.1999.3;O;gek. V. Schwickert, Nr. 174;O;det. Rasnitsyn, 1999;O
MB.I.2016;INV;http://coll.mfn-berlin.de/u/595777;O;Ephemeroptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Darling;O;1990;O;MB.1999.3;O;gek. V. Schwickert, Nr. 170;O;det. Rasnitsyn, 1999;O
MB.I.2017;INV;http://coll.mfn-berlin.de/u/580c9f;O;Pristiplocia;GEN;rupestris;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert, Nr. 1;O;;O
MB.I.2018;INV;http://coll.mfn-berlin.de/u/160827;O;Ephemeroptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;15;O;gek. V. Schwickert;O;;O
MB.I.2019;INV;http://coll.mfn-berlin.de/u/af46e1;O;Ephemeroptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;16;O;gek. V. Schwickert;O;;O
MB.I.2020;INV;http://coll.mfn-berlin.de/u/7c1e22;O;Ephemeroptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;17;O;gek. V. Schwickert;O;;O
MB.I.2021;INV;http://coll.mfn-berlin.de/u/917e38;O;Ephemeroptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;M´Cafferty;O;1990;O;18;O;gek. V. Schwickert;O;;O
MB.I.2022;INV;http://coll.mfn-berlin.de/u/67613c;O;Ephemeroptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;19;O;gek. V. Schwickert;O;;O
MB.I.2023;INV;http://coll.mfn-berlin.de/u/2ddb7d;O;Ephemeroptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;20;O;gek. V. Schwickert;O;;O
MB.I.2024;INV;http://coll.mfn-berlin.de/u/ade234;O;Ephemeroptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;21;O;gek. V. Schwickert;O;;O
MB.I.2025;INV;http://coll.mfn-berlin.de/u/a67623;O;Ephemeroptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;22;O;gek. V. Schwickert;O;;O
MB.I.2026;INV;http://coll.mfn-berlin.de/u/9ae7e1;O;Protoligoneuria;GEN;limai;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;23;O;gek. V. Schwickert;O;;O
MB.I.2027;INV;http://coll.mfn-berlin.de/u/2b2652;O;Protoligoneuria;GEN;limai;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;24;O;gek. V. Schwickert;O;;O
MB.I.2028;INV;http://coll.mfn-berlin.de/u/d84f6b;O;Protoligoneuria;GEN;limai;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;25;O;gek. V. Schwickert;O;;O
MB.I.2029;INV;http://coll.mfn-berlin.de/u/71fbff;O;Protoligoneuria;GEN;limai;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;26;O;gek. V. Schwickert;O;;O
MB.I.2030;INV;http://coll.mfn-berlin.de/u/9e8512;O;Ephemeroptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Demoulin;O;1955;O;28;O;gek. V. Schwickert;O;;O
MB.I.2031;INV;http://coll.mfn-berlin.de/u/46dc5b;O;Ephemeroptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Demoulin;O;1955;O;27;O;gek. V. Schwickert;O;;O
MB.I.2032;INV;http://coll.mfn-berlin.de/u/ebfc4d;O;Nothomacromia;GEN;sensibilis;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Demoulin;O;1955;O;29;O;gek. V. Schwickert;O;;O
MB.I.2033;INV;http://coll.mfn-berlin.de/u/6343ba;O;Nothomacromia;GEN;sensibilis;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Demoulin;O;1955;O;30;O;gek. V. Schwickert;O;;O
MB.I.2034;INV;http://coll.mfn-berlin.de/u/5c4e75;O;Nothomacromia;GEN;sensibilis;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;76;O;gek. V. Schwickert;O;;O
MB.I.2035;INV;http://coll.mfn-berlin.de/u/aa7494;O;Nothomacromia;GEN;sensibilis;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;77;O;gek. V. Schwickert;O;;O
MB.I.2036;INV;http://coll.mfn-berlin.de/u/cf7648;O;Nothomacromia;GEN;sensibilis;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Carle und Wighton;O;1990;O;MB.1993.3;O;gek. V. Schwickert, Nr. 31;O;;O
MB.I.2037;INV;http://coll.mfn-berlin.de/u/ae3f4b;O;Wightonia;GEN;araripena;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Carle und Wighton;O;1990;O;MB.1993.3;O;gek. V. Schwickert, Nr. 32, Bechly Nr. B47;O;;O
MB.I.2038;INV;http://coll.mfn-berlin.de/u/f5eddc;O;Cordulagomphinae;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Carle und Wighton;O;1990;O;MB.1993.3;O;gek. V. Schwickert, Nr. 38, Bechly Nr. C47;O;;O
MB.I.2039;INV;http://coll.mfn-berlin.de/u/88148f;O;Cordulagomphinae;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Carle und Wighton;O;1990;O;MB.1999.3;O;gek. V. Schwickert, Nr. 34, Bechly Nr. C48a;O;;O
MB.I.2040;INV;http://coll.mfn-berlin.de/u/e61f5b;O;Cordulagomphinae;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Carle und Wighton;O;1990;O;MB.1993.3;O;gek. V. Schwickert, Nr. 35, Bechly Nr. 1005;O;;O
MB.I.2041;INV;http://coll.mfn-berlin.de/u/fd44d2;O;Cordulagomphinae;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Carle und Wighton;O;1990;O;MB.1993.3;O;gek. V. Schwickert, Nr. 36, Bechly Nr. D28;O;;O
MB.I.2042;INV;http://coll.mfn-berlin.de/u/1c608d;O;Cordulagomphinae;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert, Nr. 37, Bechly Nr. B55;O;;O
MB.I.2043;INV;http://coll.mfn-berlin.de/u/7d6d7f;O;Araripelinpanshania;GEN;annesusae;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert, Nr. 38, Bechly Nr. D12;O;;O
MB.I.2044;INV;http://coll.mfn-berlin.de/u/451718;O;Gomphaeschnaoides;GEN;obliquus;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert, Nr. 39, Bechly Nr. C41;O;;O
MB.I.2045;INV;http://coll.mfn-berlin.de/u/94a101;O;Aeshnidae;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert, Nr. 40, Bechly Nr. 1015;O;;O
MB.I.2046;INV;http://coll.mfn-berlin.de/u/3eafc5;O;Euarchistigma;GEN;atrophium;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert, Nr. 41;O;;O
MB.I.2047;INV;http://coll.mfn-berlin.de/u/857dcc;O;Cordulagomphus;GEN;fenestratus;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert, Nr. 42, Bechly Nr. D58;O;;O
MB.I.2048;INV;http://coll.mfn-berlin.de/u/3061b5;O;Cordulagomphus;GEN;fenestratus;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Wighton;O;1987;O;MB.1999.3;O;gek. V. Schwickert, Nr. 43, Bechly Nr. D11;O;;O
MB.I.2049;INV;http://coll.mfn-berlin.de/u/67d8d4;O;Eoprotoneura;GEN;hyperstigma;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert, Nr. 44, Bechly Nr. C46;O;;O
MB.I.2050;INV;http://coll.mfn-berlin.de/u/474f66;O;Parahemiphlebia;GEN;cretacica;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Carle und Wighton;O;1990;O;MB.1999.3;O;gek. V. Schwickert, Nr. 45, Bechly Nr. D29;O;;O
MB.I.2051;INV;http://coll.mfn-berlin.de/u/de56c8;O;Cretarchistigma;GEN;essweine;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Carle und Wighton;O;1990;O;MB.1993.3;O;gek. V. Schwickert, Nr. 46, Bechly Nr. 046;O;;O
MB.I.2052;INV;http://coll.mfn-berlin.de/u/b30172;O;Cretarchistigma;GEN;essweine;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert;O;;O
MB.I.2053;INV;http://coll.mfn-berlin.de/u/1e45a1;O;Araripegomphus;GEN;andreneli;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert, Nr. 48, Bechly Nr. C23;O;;O
MB.I.2054;INV;http://coll.mfn-berlin.de/u/106255;O;Arariphlebia;GEN;mirabilis;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert, Nr. 49, Bechly Nr. D37;O;;O
MB.I.2055;INV;http://coll.mfn-berlin.de/u/b038cf;O;Dermaptera;ORD;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Bechly;O;1998;O;MB.1999.3;O;gek. V. Schwickert, Nr. 50, Bechly Nr. D52;O;;O
MB.I.2056;INV;http://coll.mfn-berlin.de/u/7fe38e;O;Mantodea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Bechly;O;1998;O;MB.1999.3;O;gek. V. Schwickert, Nr. 51, Bechly Nr. L24;O;;O
MB.I.2057;INV;http://coll.mfn-berlin.de/u/8450e9;O;Meiatermes;GEN;araripena;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Bechly;O;1998;O;MB.1999.3;O;gek. V. Schwickert, Nr. 214, Bechly Nr. D10;O;;O
MB.I.2058;INV;http://coll.mfn-berlin.de/u/3e4ae2;O;Mariconitermes;GEN;talicei;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Bechly;O;1998;O;MB.1999.3;O;gek. V. Schwickert, Nr. 215, Bechly Nr. D45;O;;O
MB.I.2059;INV;http://coll.mfn-berlin.de/u/e349ab;O;Mariconitermes;GEN;talicei;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr.52;O;;O
MB.I.2060;INV;http://coll.mfn-berlin.de/u/bf7368;O;Blattodea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert, Nr. 53;O;det. D. Grimaldi 2007;O
MB.I.2061;INV;http://coll.mfn-berlin.de/u/8fd608;O;Blattodea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert, Nr. 54;O;det. D. Grimaldi 2007;O
MB.I.2062;INV;http://coll.mfn-berlin.de/u/ce42da;O;Blattodea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert, Nr. 55;O;det. D. Grimaldi 2007;O
MB.I.2063;INV;http://coll.mfn-berlin.de/u/486f44;O;Blattodea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Fontes und Vulucano;O;;O;MB.1993.3;O;gek. V. Schwickert, Nr. 56;O;det. D. Grimaldi 2007;O
MB.I.2064;INV;http://coll.mfn-berlin.de/u/c70b4e;O;Santanmantis;GEN;axelrodi;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert, Nr. 57;O;;O
MB.I.2065;INV;http://coll.mfn-berlin.de/u/3ef28c;O;Blattodea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert, Nr. 58;O;;O
MB.I.2066;INV;http://coll.mfn-berlin.de/u/c8fbda;O;Blattodea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr.59;O;;O
MB.I.2067;INV;http://coll.mfn-berlin.de/u/c52776;O;Blattodea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert, Nr. 60;O;;O
MB.I.2068;INV;http://coll.mfn-berlin.de/u/8a2263;O;Blattodea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;Grimaldi;O;;O;MB.1993.3;O;gek. V. Schwickert, Nr. 61;O;det. D. Grimaldi 2007;O
MB.I.2069;INV;http://coll.mfn-berlin.de/u/89d075;O;Blattodea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr.62;O;;O
MB.I.2070;INV;http://coll.mfn-berlin.de/u/921c53;O;Blattodea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr.63;O;;O
MB.I.2071;INV;http://coll.mfn-berlin.de/u/74295f;O;Blattodea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr.64;O;;O
MB.I.2072;INV;http://coll.mfn-berlin.de/u/1ef062;O;Blattodea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr. 65;O;;O
MB.I.2073;INV;http://coll.mfn-berlin.de/u/180bea;O;Gryllacrididae;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr. 66;O;;O
MB.I.2074;INV;http://coll.mfn-berlin.de/u/bc0240;O;Schizodactylus;GEN;groeningae;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr. 67;O;;O
MB.I.2075;INV;http://coll.mfn-berlin.de/u/8cd15c;O;Araripegryllus;GEN;sp.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr. 161;O;det. Rasnitsyn, 1999;O
MB.I.2076;INV;http://coll.mfn-berlin.de/u/cb87f3;O;Oecanthidae;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr. 162;O;;O
MB.I.2078;INV;http://coll.mfn-berlin.de/u/3d1cd4;O;Araripegryllus;GEN;composae;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert Nr. 69;O;;O
MB.I.2079;INV;http://coll.mfn-berlin.de/u/fbe936;O;Tettogonioidea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert Nr. 70;O;;O
MB.I.2080;INV;http://coll.mfn-berlin.de/u/f6487f;O;Cratoelcana;GEN;zessini;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert Nr. 71;O;;O
MB.I.2081;INV;http://coll.mfn-berlin.de/u/33c0d8;O;Tettogonioidea;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert Nr.72;O;;O
MB.I.2082;INV;http://coll.mfn-berlin.de/u/b475b1;O;Gryllotalpidae;FAM;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert Nr. 73;O;;O
MB.I.2083;INV;http://coll.mfn-berlin.de/u/4be4b3;O;Araripemyrmecophilops;GEN;gracilis;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr. 74;O;;O
MB.I.2084;INV;http://coll.mfn-berlin.de/u/9c80b7;O;Auchenorrhyncha;SUBOR;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert Nr. 75;O;;O
MB.I.2085;INV;http://coll.mfn-berlin.de/u/4826ab;O;Auchenorrhyncha;SUBOR;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr. 78;O;;O
MB.I.2086;INV;http://coll.mfn-berlin.de/u/1a5625;O;Auchenorrhyncha;SUBOR;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr. 79;O;;O
MB.I.2087;INV;http://coll.mfn-berlin.de/u/5b3e89;O;Auchenorrhyncha;SUBOR;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1993.3;O;gek. V. Schwickert Nr. 80;O;;O
MB.I.2088;INV;http://coll.mfn-berlin.de/u/51fc01;O;Auchenorrhyncha;SUBOR;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr.81;O;;O
MB.I.2089;INV;http://coll.mfn-berlin.de/u/162195;O;Auchenorrhyncha;SUBOR;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr.82;O;;O
MB.I.2090;INV;http://coll.mfn-berlin.de/u/e99dbc;O;Auchenorrhyncha;SUBOR;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr.83;O;;O
MB.I.2091;INV;http://coll.mfn-berlin.de/u/88de3b;O;Auchenorrhyncha;SUBOR;indet.;SPE;Araripe Becken, Brasilien;LOC;Crato-Formation, Apt.-Alb. U.-Kreide;STR;;O;;O;MB.1999.3;O;gek. V. Schwickert Nr.84;O;;O
